zip,lat,lng
10001,40.7484,-73.9967
10002,40.7157,-73.9863
10003,40.7317,-73.9893
10010,40.7390,-73.9826
10016,40.7459,-73.9781
10019,40.7654,-73.9854
10021,40.7695,-73.9585
10029,40.7917,-73.9438
10032,40.8388,-73.9426
10036,40.7592,-73.9890
10065,40.7649,-73.9634
10128,40.7813,-73.9505
11201,40.6936,-73.9898
11215,40.6628,-73.9865
11217,40.6819,-73.9784
11238,40.6790,-73.9637
02101,42.3706,-71.0267
02108,42.3588,-71.0654
02115,42.3424,-71.0878
02139,42.3653,-71.1035
02215,42.3475,-71.1028
06510,41.3082,-72.9282
06511,41.2975,-72.9279
07102,40.7358,-74.1714
07030,40.7440,-74.0323
08544,40.3487,-74.6593
08901,40.4862,-74.4518
19104,39.9573,-75.1961
19107,39.9510,-75.1558
19139,39.9614,-75.2298
20001,38.9080,-77.0178
20007,38.9108,-77.0714
20037,38.9016,-77.0497
20742,38.9897,-76.9426
21201,39.2946,-76.6198
21205,39.2983,-76.5883
22903,38.0377,-78.4865
23284,37.5474,-77.4503
27599,35.9077,-79.0480
27705,36.0131,-78.9352
27710,36.0042,-78.9387
30322,33.7923,-84.3235
32610,29.6439,-82.3543
33136,25.7894,-80.2107
33199,25.7555,-80.3756
37996,35.9540,-83.9293
48109,42.2780,-83.7382
48202,42.3600,-83.0697
48824,42.7347,-84.4800
43210,39.9988,-83.0174
43606,41.6527,-83.6121
44106,41.5090,-81.6082
44195,41.5017,-81.6213
46202,39.7802,-86.1765
47405,39.1736,-86.5189
52242,41.6634,-91.5341
53706,43.0772,-89.4131
55108,44.9841,-93.1822
55455,44.9754,-93.2337
60611,41.8933,-87.6177
60612,41.8798,-87.6796
60637,41.7806,-87.5996
61801,40.1106,-88.2073
63110,38.6352,-90.2639
63130,38.6488,-90.3285
64108,39.0892,-94.5867
64110,39.0372,-94.5720
68588,40.8196,-96.6983
72205,34.7352,-92.3373
73019,35.2050,-97.4425
73190,35.4823,-97.4960
75235,32.8347,-96.8410
75390,32.7876,-96.8071
77030,29.7089,-95.3987
77204,29.7219,-95.3427
78229,29.5100,-98.5712
78712,30.2849,-97.7341
80045,39.7478,-104.8384
80217,39.7392,-104.9847
84112,40.7650,-111.8421
85004,33.4506,-112.0737
85721,32.2308,-110.9500
89557,39.5451,-119.8154
90024,34.0640,-118.4437
90033,34.0524,-118.2115
90089,34.0217,-118.2837
91010,34.1520,-117.9671
91330,34.2407,-118.5296
92093,32.8811,-117.2376
92103,32.7472,-117.1689
94143,37.7632,-122.4580
94305,37.4275,-122.1697
95616,38.5449,-121.7405
95817,38.5549,-121.4552
97201,45.5097,-122.6899
97239,45.4960,-122.6730
98195,47.6549,-122.3035
98101,47.6114,-122.3305
